date,sale_count
04-01-2015,0
11-01-2015,0
18-01-2015,0
25-01-2015,0
01-02-2015,0
08-02-2015,0
15-02-2015,0
22-02-2015,0
01-03-2015,0
08-03-2015,0
15-03-2015,0
22-03-2015,0
29-03-2015,0
05-04-2015,77
12-04-2015,70
19-04-2015,94
26-04-2015,138
03-05-2015,22
10-05-2015,20
17-05-2015,19
24-05-2015,24
31-05-2015,78
07-06-2015,123
14-06-2015,114
21-06-2015,144
28-06-2015,228
05-07-2015,87
12-07-2015,124
19-07-2015,141
26-07-2015,282
02-08-2015,100
09-08-2015,130
16-08-2015,102
23-08-2015,109
30-08-2015,242
06-09-2015,215
13-09-2015,416
20-09-2015,383
27-09-2015,711
04-10-2015,36
11-10-2015,49
18-10-2015,36
25-10-2015,153
01-11-2015,143
08-11-2015,84
15-11-2015,130
22-11-2015,75
29-11-2015,322
06-12-2015,55
13-12-2015,78
20-12-2015,47
27-12-2015,151
03-01-2016,149
10-01-2016,200
17-01-2016,186
24-01-2016,128
31-01-2016,458
07-02-2016,0
14-02-2016,0
21-02-2016,0
28-02-2016,0
06-03-2016,152
13-03-2016,130
20-03-2016,113
27-03-2016,344
03-04-2016,15
10-04-2016,16
17-04-2016,23
24-04-2016,41
01-05-2016,73
08-05-2016,67
15-05-2016,67
22-05-2016,67
29-05-2016,134
05-06-2016,73
12-06-2016,73
19-06-2016,107
26-06-2016,223
03-07-2016,0
10-07-2016,0
17-07-2016,0
24-07-2016,0
31-07-2016,0
07-08-2016,0
14-08-2016,0
21-08-2016,0
28-08-2016,0
04-09-2016,0
11-09-2016,0
18-09-2016,0
25-09-2016,0
02-10-2016,4
09-10-2016,5
16-10-2016,4
23-10-2016,3
30-10-2016,16
06-11-2016,81
13-11-2016,81
20-11-2016,127
27-11-2016,365
04-12-2016,125
11-12-2016,97
18-12-2016,87
25-12-2016,236
01-01-2017,25
08-01-2017,27
15-01-2017,14
22-01-2017,21
29-01-2017,52
05-02-2017,0
12-02-2017,0
19-02-2017,0
26-02-2017,0
05-03-2017,167
12-03-2017,142
19-03-2017,147
26-03-2017,428
02-04-2017,277
09-04-2017,178
16-04-2017,262
23-04-2017,301
30-04-2017,496
07-05-2017,243
14-05-2017,330
21-05-2017,285
28-05-2017,558
04-06-2017,0
11-06-2017,0
18-06-2017,0
25-06-2017,0
02-07-2017,44
09-07-2017,52
16-07-2017,57
23-07-2017,53
30-07-2017,84
06-08-2017,0
13-08-2017,0
20-08-2017,0
27-08-2017,0
03-09-2017,0
10-09-2017,0
17-09-2017,0
24-09-2017,0
01-10-2017,0
08-10-2017,0
15-10-2017,0
22-10-2017,0
29-10-2017,0
05-11-2017,0
12-11-2017,0
19-11-2017,0
26-11-2017,2
03-12-2017,0
10-12-2017,0
17-12-2017,0
24-12-2017,0
31-12-2017,0
